## jsm_assets2.obj_new
Table	Non_unique	Key_name	Seq_in_index	Column_name	Collation	Cardinality	Sub_part	Packed	Null	Index_type	Comment	Index_comment	Visible	Expression	Clustered	Global
obj_new	1	idx_fts_text_value_122	1	text_value_122	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_13	1	text_value_13	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_14	1	text_value_14	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_15	1	text_value_15	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_16	1	text_value_16	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_17	1	text_value_17	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_18	1	text_value_18	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_19	1	text_value_19	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_2	1	text_value_2	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_21	1	text_value_21	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_23	1	text_value_23	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_24	1	text_value_24	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_25	1	text_value_25	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_26	1	text_value_26	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_27	1	text_value_27	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_28	1	text_value_28	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_29	1	text_value_29	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_3	1	text_value_3	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_30	1	text_value_30	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_31	1	text_value_31	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_32	1	text_value_32	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_33	1	text_value_33	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_34	1	text_value_34	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_35	1	text_value_35	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_36	1	text_value_36	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_37	1	text_value_37	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_38	1	text_value_38	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_39	1	text_value_39	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_40	1	text_value_40	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_41	1	text_value_41	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_42	1	text_value_42	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_43	1	text_value_43	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_44	1	text_value_44	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_45	1	text_value_45	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_46	1	text_value_46	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_47	1	text_value_47	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_48	1	text_value_48	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_49	1	text_value_49	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_50	1	text_value_50	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_51	1	text_value_51	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_52	1	text_value_52	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_53	1	text_value_53	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_54	1	text_value_54	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_55	1	text_value_55	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_56	1	text_value_56	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_57	1	text_value_57	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_58	1	text_value_58	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_59	1	text_value_59	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_6	1	text_value_6	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_60	1	text_value_60	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_61	1	text_value_61	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_62	1	text_value_62	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_63	1	text_value_63	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_64	1	text_value_64	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_65	1	text_value_65	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_66	1	text_value_66	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_67	1	text_value_67	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_68	1	text_value_68	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_69	1	text_value_69	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
